"id";"symbol";"timestamp";"tradingDay";"open";"high";"low";"close";"volume";"createdAt";"updatedAt"
1;"NFLX";"2018-05-01T00:00:00-04:00";"2018-05-01";310.36;313.48;306.69;313.3;6036600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
2;"NFLX";"2018-05-02T00:00:00-04:00";"2018-05-02";311.65;317.1;310.4;313.36;5697100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
3;"NFLX";"2018-05-03T00:00:00-04:00";"2018-05-03";312.59;312.59;305.73;311.69;6135800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
4;"NFLX";"2018-05-04T00:00:00-04:00";"2018-05-04";308.71;320.98;307.67;320.09;8209500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
5;"NFLX";"2018-05-07T00:00:00-04:00";"2018-05-07";321.995;329.023;319.34;326.26;7117800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
6;"NFLX";"2018-05-08T00:00:00-04:00";"2018-05-08";325.9;327.35;323.05;326.89;4735700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
7;"NFLX";"2018-05-09T00:00:00-04:00";"2018-05-09";328.79;331.95;327.51;330.3;5633400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
8;"NFLX";"2018-05-10T00:00:00-04:00";"2018-05-10";331.5;332.055;327.344;329.6;5302200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
9;"NFLX";"2018-05-11T00:00:00-04:00";"2018-05-11";329.65;331.26;324.87;326.46;4589700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
10;"NFLX";"2018-05-14T00:00:00-04:00";"2018-05-14";327.25;330.5;327.04;328.53;4089800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
11;"NFLX";"2018-05-15T00:00:00-04:00";"2018-05-15";325.94;326.94;322.43;326.13;4746000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
12;"NFLX";"2018-05-16T00:00:00-04:00";"2018-05-16";326.28;329.72;325.14;328.19;3671600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
13;"NFLX";"2018-05-17T00:00:00-04:00";"2018-05-17";327.53;330.45;323.17;325.22;4935700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
14;"NFLX";"2018-05-18T00:00:00-04:00";"2018-05-18";324.9;326.42;322.8;324.18;3577700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
15;"NFLX";"2018-05-21T00:00:00-04:00";"2018-05-21";327.11;331.88;325.45;331.82;6657300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
16;"NFLX";"2018-05-22T00:00:00-04:00";"2018-05-22";334.05;336.63;331.15;331.62;5964400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
17;"NFLX";"2018-05-23T00:00:00-04:00";"2018-05-23";329.04;345.0;328.09;344.72;10049100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
18;"NFLX";"2018-05-24T00:00:00-04:00";"2018-05-24";344.34;354.0;341.12;349.29;14758500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
19;"NFLX";"2018-05-25T00:00:00-04:00";"2018-05-25";349.9;354.36;348.83;351.29;7817400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
20;"NFLX";"2018-05-29T00:00:00-04:00";"2018-05-29";351.5;356.1;346.71;349.73;9717900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
21;"NFLX";"2018-05-30T00:00:00-04:00";"2018-05-30";352.37;354.0;349.26;353.54;5685500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
22;"NFLX";"2018-05-31T00:00:00-04:00";"2018-05-31";353.8;355.53;350.21;351.6;6921600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
23;"NFLX";"2018-06-01T00:00:00-04:00";"2018-06-01";353.88;359.99;352.82;359.93;7112200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
24;"NFLX";"2018-06-04T00:00:00-04:00";"2018-06-04";362.68;363.0;355.51;361.81;7681900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
25;"NFLX";"2018-06-05T00:00:00-04:00";"2018-06-05";363.32;369.83;361.41;365.8;8358000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
26;"NFLX";"2018-06-06T00:00:00-04:00";"2018-06-06";367.785;369.68;363.33;367.45;7712300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
27;"NFLX";"2018-06-07T00:00:00-04:00";"2018-06-07";368.54;368.7;357.8;361.4;8278000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
28;"NFLX";"2018-06-08T00:00:00-04:00";"2018-06-08";358.06;362.39;356.25;360.57;5225700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
29;"NFLX";"2018-06-11T00:00:00-04:00";"2018-06-11";361.88;365.67;360.91;361.45;4432400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
30;"NFLX";"2018-06-12T00:00:00-04:00";"2018-06-12";363.6;365.98;362.0;363.83;4290900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
31;"NFLX";"2018-06-13T00:00:00-04:00";"2018-06-13";367.53;384.25;364.11;379.93;18222700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
32;"NFLX";"2018-06-14T00:00:00-04:00";"2018-06-14";384.27;395.03;383.25;392.87;14598300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
