"id";"symbol";"name";"dayCode";"serverTimestamp";"mode";"lastPrice";"tradeTimestamp";"netChange";"percentChange";"unitCode";"open";"high";"low";"close";"numTrades";"dollarVolume";"flag";"volume";"previousVolume";"fiftyTwoWkHigh";"fiftyTwoWkHighDate";"fiftyTwoWkLow";"fiftyTwoWkLowDate";"createdAt";"updatedAt"
1;"AAPL";"Apple Inc";"U";"2018-10-31T09:34:38-05:00";"i";218.9;"2018-10-31T10:19:36-05:00";5.6;2.63;"2";215.1;219.07;215.1;0.0;0;0.0;"";332890;0;0.0;"";0.0;"";"2018-10-31 14:34:38";"2018-10-31 14:34:38"
2;"MSFT";"Microsoft Corp";"U";"2018-10-31T09:34:38-05:00";"i";107.63;"2018-10-31T10:19:38-05:00";3.9;3.76;"2";104.45;107.7;104.45;0.0;0;0.0;"";1659916;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
3;"AMZN";"Amazon.com Inc";"U";"2018-10-31T09:34:37-05:00";"i";1614.01;"2018-10-31T10:19:37-05:00";83.59;5.46;"2";1557.98;1617.64;1554.99;0.0;0;0.0;"";152283;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
4;"BRK.B";"Berkshire Hath Hld Cl B";"U";"2018-10-31T09:34:37-05:00";"i";205.76;"2018-10-31T10:19:14-05:00";2.41;1.19;"2";205.4;205.99;204.5;0.0;0;0.0;"";64590;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
5;"JNJ";"Johnson & Johnson";"U";"2018-10-31T09:34:36-05:00";"i";140.15;"2018-10-31T10:19:36-05:00";-0.6;-0.43;"2";140.88;141.26;139.63;0.0;0;0.0;"";81749;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
6;"FB";"Facebook Inc";"U";"2018-10-31T09:34:38-05:00";"i";155.42;"2018-10-31T10:19:38-05:00";9.2;6.29;"2";152.51;156.37;152.51;0.0;0;0.0;"";837788;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
7;"JPM";"JP Morgan Chase & Co";"U";"2018-10-31T09:34:37-05:00";"i";108.96;"2018-10-31T10:19:37-05:00";2.26;2.12;"2";107.6;109.11;107.6;0.0;0;0.0;"";479310;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
8;"GOOG";"Alphabet Class C";"U";"2018-10-31T09:34:37-05:00";"i";1077.74;"2018-10-31T10:19:28-05:00";41.53;4.01;"2";1054.94;1079.0;1054.55;0.0;0;0.0;"";31383;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
9;"XOM";"Exxon Mobil Corp";"U";"2018-10-31T09:34:38-05:00";"i";79.31;"2018-10-31T10:19:37-05:00";0.53;0.67;"2";79.13;79.47;78.91;0.0;0;0.0;"";304538;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
10;"GOOGL";"Alphabet Class A";"U";"2018-10-31T09:34:36-05:00";"i";1092.66;"2018-10-31T10:19:19-05:00";43.15;4.11;"2";1065.0;1095.39;1065.0;0.0;0;0.0;"";63022;0;0.0;"";0.0;"";"2018-10-31 14:34:40";"2018-10-31 14:34:40"
