"id";"symbol";"name";"dayCode";"serverTimestamp";"mode";"lastPrice";"tradeTimestamp";"netChange";"percentChange";"unitCode";"open";"high";"low";"close";"numTrades";"dollarVolume";"flag";"volume";"previousVolume";"fiftyTwoWkHigh";"fiftyTwoWkHighDate";"fiftyTwoWkLow";"fiftyTwoWkLowDate";"createdAt";"updatedAt"
1;"AAPL";"Apple Inc";"T";"2018-10-30T13:49:58-05:00";"i";212.22;"2018-10-30T14:34:58-05:00";-0.02;-0.01;"2";213.74;215.18;209.3;0.0;0;0.0;"";1283585;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
2;"MSFT";"Microsoft Corp";"T";"2018-10-30T13:49:58-05:00";"i";101.98;"2018-10-30T14:34:58-05:00";-1.87;-1.8;"2";104.02;104.44;100.11;0.0;0;0.0;"";8093339;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
3;"AMZN";"Amazon.com Inc";"T";"2018-10-30T13:49:58-05:00";"i";1503.82;"2018-10-30T14:34:57-05:00";-35.06;-2.28;"2";1528.2;1540.91;1477.0;0.0;0;0.0;"";471705;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
4;"BRK.B";"Berkshire Hath Hld Cl B";"T";"2018-10-30T13:49:58-05:00";"i";200.65;"2018-10-30T14:34:54-05:00";0.61;0.3;"2";200.19;202.46;198.86;0.0;0;0.0;"";479682;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
5;"JNJ";"Johnson & Johnson";"T";"2018-10-30T13:49:58-05:00";"i";139.72;"2018-10-30T14:34:58-05:00";2.17;1.58;"2";137.64;140.49;137.01;0.0;0;0.0;"";437885;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
6;"FB";"Facebook Inc";"T";"2018-10-30T13:49:57-05:00";"i";143.1;"2018-10-30T14:34:55-05:00";1.01;0.71;"2";142.6;144.5;138.88;0.0;0;0.0;"";1481877;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
7;"JPM";"JP Morgan Chase & Co";"T";"2018-10-30T13:49:58-05:00";"i";106.03;"2018-10-30T14:34:57-05:00";1.18;1.13;"2";105.6;106.48;104.86;0.0;0;0.0;"";2410829;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
8;"GOOG";"Alphabet Class C";"T";"2018-10-30T13:49:57-05:00";"i";1015.5;"2018-10-30T14:34:07-05:00";-4.58;-0.45;"2";1023.95;1037.17;1001.0;0.0;0;0.0;"";103947;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
9;"XOM";"Exxon Mobil Corp";"T";"2018-10-30T13:49:58-05:00";"i";78.19;"2018-10-30T14:34:57-05:00";1.14;1.48;"2";77.64;78.74;77.42;0.0;0;0.0;"";2227243;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
10;"GOOGL";"Alphabet Class A";"T";"2018-10-30T13:49:56-05:00";"i";1028.59;"2018-10-30T14:34:53-05:00";-6.14;-0.59;"2";1040.12;1050.79;1014.02;0.0;0;0.0;"";109160;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
11;"PFE";"Pfizer Inc";"T";"2018-10-30T13:49:58-05:00";"i";42.6;"2018-10-30T14:34:57-05:00";-0.63;-1.46;"2";42.85;43.08;41.6;0.0;0;0.0;"";2005904;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
12;"UNH";"Unitedhealth Group Inc";"T";"2018-10-30T13:49:58-05:00";"i";255.95;"2018-10-30T14:34:50-05:00";-0.57;-0.22;"2";256.77;259.68;254.0;0.0;0;0.0;"";117389;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
13;"BAC";"Bank of America Corp";"T";"2018-10-30T13:49:58-05:00";"i";26.47;"2018-10-30T14:34:57-05:00";-0.14;-0.53;"2";26.82;26.85;26.33;0.0;0;0.0;"";3797301;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
14;"V";"Visa Inc";"T";"2018-10-30T13:49:58-05:00";"i";131.2;"2018-10-30T14:34:56-05:00";-3.13;-2.33;"2";135.0;135.3;129.79;0.0;0;0.0;"";1321309;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
15;"VZ";"Verizon Communications Inc";"T";"2018-10-30T13:49:58-05:00";"i";57.8;"2018-10-30T14:34:58-05:00";1.32;2.34;"2";56.55;58.18;56.54;0.0;0;0.0;"";1614204;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
16;"WFC";"Wells Fargo & Company";"T";"2018-10-30T13:49:58-05:00";"i";52.29;"2018-10-30T14:34:57-05:00";0.06;0.11;"2";52.51;52.91;51.88;0.0;0;0.0;"";2114156;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
17;"PG";"Procter & Gamble Company";"T";"2018-10-30T13:49:58-05:00";"i";88.73;"2018-10-30T14:34:58-05:00";0.49;0.56;"2";88.68;89.43;88.21;0.0;0;0.0;"";1451673;0;0.0;"";0.0;"";"2018-10-30 18:49:59";"2018-10-30 18:49:59"
